TIME	X:1	R:1	Y:1	noise:1
11.4	0.04473938	0.02752926	0.09788139	0.00135802
11.5	0.04473936	0.02752926	0.09788141	0.00137302
11.6	0.04473933	0.02752927	0.09788143	0.0013864
11.7	0.0447393	0.02752928	0.09788145	0.00134502
11.8	0.04473927	0.02752928	0.09788147	0.00138405
11.9	0.04473923	0.02752928	0.09788148	0.00137721
12	0.0447392	0.02752928	0.0978815	0.00135393
12.1	0.04473916	0.02752928	0.09788152	0.00138955
12.2	0.04473912	0.02752928	0.09788153	0.00139438
12.3	0.04473908	0.02752927	0.09788155	0.00139246
12.4	0.04473905	0.02752927	0.09788156	0.00138681
12.5	0.04473901	0.02752926	0.09788157	0.00140892
12.6	0.04473898	0.02752925	0.09788158	0.00139298
12.7	0.04473894	0.02752925	0.09788159	0.00138855
12.8	0.04473891	0.02752924	0.0978816	0.00132259
12.9	0.04473888	0.02752923	0.0978816	0.00133616
13	0.04473886	0.02752922	0.09788161	0.00140171
13.1	0.04473883	0.02752921	0.09788161	0.00139971
13.2	0.04473881	0.0275292	0.09788161	0.00134049
13.3	0.0447388	0.02752919	0.09788161	0.00135321
13.4	0.04473878	0.02752918	0.0978816	0.00136256
13.5	0.04473877	0.02752917	0.0978816	0.0013295
13.6	0.04473877	0.02752916	0.09788159	0.00135613
13.7	0.04473876	0.02752915	0.09788159	0.00138752
13.8	0.04473877	0.02752914	0.09788158	0.0013937
13.9	0.04473877	0.02752913	0.09788157	0.00136345
14	0.04473878	0.02752912	0.09788156	0.00138177
14.1	0.04473879	0.02752912	0.09788155	0.00133272
14.2	0.0447388	0.02752911	0.09788154	0.00139085
14.3	0.04473881	0.02752911	0.09788153	0.00141726
14.4	0.04473883	0.0275291	0.09788151	0.00136507
14.5	0.04473885	0.0275291	0.0978815	0.0013746
14.6	0.04473887	0.0275291	0.09788149	0.00135374
14.7	0.04473889	0.0275291	0.09788148	0.00137289
14.8	0.04473891	0.0275291	0.09788147	0.00138025
14.9	0.04473894	0.0275291	0.09788146	0.00135625
15	0.04473896	0.0275291	0.09788145	0.00141532
15.1	0.04473898	0.0275291	0.09788144	0.00139763
15.2	0.044739	0.02752911	0.09788143	0.00138692
15.3	0.04473903	0.02752911	0.09788143	0.00135792
15.4	0.04473905	0.02752912	0.09788142	0.00139806
15.5	0.04473907	0.02752912	0.09788142	0.00133175
15.6	0.04473909	0.02752913	0.09788141	0.00136153
15.7	0.0447391	0.02752913	0.09788141	0.00136545
15.8	0.04473912	0.02752914	0.09788141	0.00139406
15.9	0.04473913	0.02752915	0.09788141	0.00139936
16	0.04473914	0.02752915	0.09788141	0.00138831
16.1	0.04473915	0.02752916	0.09788141	0.00136324
16.2	0.04473916	0.02752916	0.09788141	0.0014175
16.3	0.04473916	0.02752917	0.09788142	0.00134208
16.4	0.04473917	0.02752918	0.09788142	0.00134471
16.5	0.04473917	0.02752918	0.09788142	0.0014187
16.6	0.04473917	0.02752919	0.09788143	0.00139229
16.7	0.04473916	0.02752919	0.09788143	0.00142774
16.8	0.04473916	0.0275292	0.09788144	0.00135116
16.9	0.04473915	0.0275292	0.09788145	0.00137354
17	0.04473914	0.0275292	0.09788145	0.00138166
17.1	0.04473913	0.0275292	0.09788146	0.00142917
17.2	0.04473912	0.02752921	0.09788147	0.00133993
17.3	0.04473911	0.02752921	0.09788148	0.00140183
17.4	0.0447391	0.02752921	0.09788148	0.00132652
17.5	0.04473909	0.02752921	0.09788149	0.00134147
17.6	0.04473907	0.02752921	0.0978815	0.00139488
17.7	0.04473906	0.02752921	0.0978815	0.00132969
17.8	0.04473904	0.02752921	0.09788151	0.00139709
17.9	0.04473903	0.02752921	0.09788151	0.0013508
18	0.04473902	0.0275292	0.09788152	0.00136816
18.1	0.044739	0.0275292	0.09788152	0.00133926
18.2	0.04473899	0.0275292	0.09788152	0.0013298
18.3	0.04473898	0.02752919	0.09788153	0.00139575
18.4	0.04473897	0.02752919	0.09788153	0.00135669
18.5	0.04473896	0.02752919	0.09788153	0.00133231
18.6	0.04473895	0.02752918	0.09788153	0.00138175
18.7	0.04473894	0.02752918	0.09788153	0.0013441
18.8	0.04473894	0.02752918	0.09788153	0.00136586
18.9	0.04473893	0.02752917	0.09788153	0.00139723
19	0.04473893	0.02752917	0.09788153	0.00138921
19.1	0.04473892	0.02752916	0.09788153	0.0013417
19.2	0.04473892	0.02752916	0.09788152	0.00134391
19.3	0.04473892	0.02752916	0.09788152	0.00135682
19.4	0.04473892	0.02752915	0.09788152	0.0014294
19.5	0.04473893	0.02752915	0.09788151	0.00136012
19.6	0.04473893	0.02752915	0.09788151	0.00138719
19.7	0.04473893	0.02752915	0.09788151	0.00133125
19.8	0.04473894	0.02752915	0.0978815	0.00132917
19.9	0.04473894	0.02752914	0.0978815	0.00135828
20	0.04473895	0.02752914	0.09788149	0.00135907
20.1	0.04473896	0.02752914	0.09788149	0.00133492
20.2	0.04473897	0.02752914	0.09788148	0.00140493
20.3	0.04473897	0.02752914	0.09788148	0.00140121
20.4	0.04473898	0.02752914	0.09788148	0.00141571
20.5	0.04473899	0.02752914	0.09788147	0.00133237
20.6	0.044739	0.02752914	0.09788147	0.0014202
20.7	0.04473901	0.02752914	0.09788147	0.00137181
20.8	0.04473902	0.02752915	0.09788146	0.00137989
20.9	0.04473902	0.02752915	0.09788146	0.00141978
21	0.04473903	0.02752915	0.09788146	0.0013262
21.1	0.04473904	0.02752915	0.09788146	0.00137591
21.2	0.04473905	0.02752915	0.09788146	0.00137721
21.3	0.04473905	0.02752916	0.09788146	0.00133509
21.4	0.04473906	0.02752916	0.09788146	0.00134342
21.5	0.04473906	0.02752916	0.09788146	0.00142075
21.6	0.04473906	0.02752916	0.09788146	0.00134606
21.7	0.04473907	0.02752917	0.09788146	0.00136866
21.8	0.04473907	0.02752917	0.09788146	0.00140259
21.9	0.04473907	0.02752917	0.09788146	0.00135098
22	0.04473907	0.02752917	0.09788146	0.0013861
22.1	0.04473907	0.02752917	0.09788146	0.00133798
22.2	0.04473907	0.02752918	0.09788147	0.00132814
22.3	0.04473907	0.02752918	0.09788147	0.00142367
22.4	0.04473907	0.02752918	0.09788147	0.00140108
22.5	0.04473906	0.02752918	0.09788147	0.00139301
22.6	0.04473906	0.02752918	0.09788148	0.00140854
22.7	0.04473906	0.02752918	0.09788148	0.00139351
22.8	0.04473905	0.02752918	0.09788148	0.00136108
22.9	0.04473905	0.02752918	0.09788148	0.00142244
23	0.04473904	0.02752918	0.09788149	0.00132444
23.1	0.04473904	0.02752918	0.09788149	0.00141621
23.2	0.04473903	0.02752918	0.09788149	0.00134068
23.3	0.04473903	0.02752918	0.09788149	0.00138672
23.4	0.04473902	0.02752918	0.09788149	0.00136112
23.5	0.04473902	0.02752918	0.0978815	0.00137268
23.6	0.04473901	0.02752918	0.0978815	0.00132826
23.7	0.04473901	0.02752918	0.0978815	0.00137436
23.8	0.044739	0.02752918	0.0978815	0.00136292
23.9	0.044739	0.02752918	0.0978815	0.00136609
24	0.044739	0.02752918	0.0978815	0.00136186
24.1	0.04473899	0.02752917	0.0978815	0.00137214
24.2	0.04473899	0.02752917	0.0978815	0.00137657
24.3	0.04473899	0.02752917	0.0978815	0.00139165
24.4	0.04473898	0.02752917	0.0978815	0.0013465
24.5	0.04473898	0.02752917	0.0978815	0.00138311
24.6	0.04473898	0.02752917	0.0978815	0.00133376
24.7	0.04473898	0.02752917	0.0978815	0.00135509
24.8	0.04473898	0.02752916	0.0978815	0.00134968
24.9	0.04473898	0.02752916	0.0978815	0.0014082
25	0.04473898	0.02752916	0.0978815	0.00137909
25.1	0.04473898	0.02752916	0.09788149	0.00136677
25.2	0.04473898	0.02752916	0.09788149	0.00134705
25.3	0.04473899	0.02752916	0.09788149	0.00139028
25.4	0.04473899	0.02752916	0.09788149	0.00135211
25.5	0.04473899	0.02752916	0.09788149	0.00138207
25.6	0.04473899	0.02752916	0.09788149	0.00136557
25.7	0.044739	0.02752916	0.09788148	0.00139575
25.8	0.044739	0.02752916	0.09788148	0.00141916
25.9	0.044739	0.02752916	0.09788148	0.00139533
26	0.04473901	0.02752916	0.09788148	0.0014172
26.1	0.04473901	0.02752916	0.09788148	0.0013755
26.2	0.04473901	0.02752916	0.09788148	0.00134958
26.3	0.04473901	0.02752916	0.09788148	0.00139988
26.4	0.04473902	0.02752916	0.09788148	0.00136113
26.5	0.04473902	0.02752916	0.09788148	0.00136921
26.6	0.04473902	0.02752916	0.09788147	0.00141138
26.7	0.04473903	0.02752916	0.09788147	0.00134087
26.8	0.04473903	0.02752916	0.09788147	0.00133139
26.9	0.04473903	0.02752916	0.09788147	0.00138796
27	0.04473903	0.02752916	0.09788147	0.00141821
27.1	0.04473903	0.02752917	0.09788147	0.00142256
27.2	0.04473903	0.02752917	0.09788147	0.00138323
27.3	0.04473904	0.02752917	0.09788147	0.0014159
27.4	0.04473904	0.02752917	0.09788148	0.00139155
27.5	0.04473904	0.02752917	0.09788148	0.00132381
27.6	0.04473904	0.02752917	0.09788148	0.00136617
27.7	0.04473904	0.02752917	0.09788148	0.00135116
27.8	0.04473904	0.02752917	0.09788148	0.00141928
27.9	0.04473903	0.02752917	0.09788148	0.00133393
28	0.04473903	0.02752917	0.09788148	0.00140139
28.1	0.04473903	0.02752917	0.09788148	0.00142984
28.2	0.04473903	0.02752917	0.09788148	0.00136963
28.3	0.04473903	0.02752917	0.09788148	0.00134072
28.4	0.04473903	0.02752917	0.09788148	0.00136127
28.5	0.04473903	0.02752917	0.09788148	0.00142131
28.6	0.04473902	0.02752917	0.09788149	0.00140386
28.7	0.04473902	0.02752917	0.09788149	0.00140203
28.8	0.04473902	0.02752917	0.09788149	0.00134261
28.9	0.04473902	0.02752917	0.09788149	0.00135835
29	0.04473902	0.02752917	0.09788149	0.00138982
29.1	0.04473901	0.02752917	0.09788149	0.0013503
29.2	0.04473901	0.02752917	0.09788149	0.00141069
29.3	0.04473901	0.02752917	0.09788149	0.00136421
29.4	0.04473901	0.02752917	0.09788149	0.00137442
29.5	0.04473901	0.02752917	0.09788149	0.00140292
29.6	0.04473901	0.02752917	0.09788149	0.00141186
29.7	0.04473901	0.02752917	0.09788149	0.00143028
29.8	0.044739	0.02752917	0.09788149	0.00135844
29.9	0.044739	0.02752917	0.09788149	0.001369
30	0.044739	0.02752917	0.09788149	0.00137883
30.1	0.044739	0.02752917	0.09788149	0.00133898
30.2	0.044739	0.02752917	0.09788149	0.00137867
30.3	0.044739	0.02752917	0.09788149	0.00136473
30.4	0.044739	0.02752917	0.09788149	0.00141643
30.5	0.044739	0.02752917	0.09788149	0.00138238
30.6	0.044739	0.02752917	0.09788149	0.00132813
30.7	0.044739	0.02752916	0.09788149	0.0013837
30.8	0.044739	0.02752916	0.09788149	0.00136151
30.9	0.044739	0.02752916	0.09788149	0.00138983
31	0.04473901	0.02752916	0.09788149	0.00133475
31.1	0.04473901	0.02752916	0.09788149	0.00142834
31.2	0.04473901	0.02752916	0.09788148	0.00141384
31.3	0.04473901	0.02752916	0.09788148	0.0014259
31.4	0.04473901	0.02752916	0.09788148	0.00139562
31.5	0.04473901	0.02752916	0.09788148	0.00135515
31.6	0.04473901	0.02752916	0.09788148	0.00137286
31.7	0.04473901	0.02752916	0.09788148	0.00142743
31.8	0.04473901	0.02752916	0.09788148	0.001364
31.9	0.04473902	0.02752916	0.09788148	0.00142512
32	0.04473902	0.02752916	0.09788148	0.00138749
32.1	0.04473902	0.02752917	0.09788148	0.00139784
32.2	0.04473902	0.02752917	0.09788148	0.00138563
32.3	0.04473902	0.02752917	0.09788148	0.00135277
32.4	0.04473902	0.02752917	0.09788148	0.00140437
32.5	0.04473902	0.02752917	0.09788148	0.00141535
32.6	0.04473902	0.02752917	0.09788148	0.00133428
32.7	0.04473902	0.02752917	0.09788148	0.00136917
32.8	0.04473902	0.02752917	0.09788148	0.0013407
32.9	0.04473902	0.02752917	0.09788148	0.00133646
33	0.04473902	0.02752917	0.09788148	0.0013865
33.1	0.04473902	0.02752917	0.09788148	0.00135588
33.2	0.04473902	0.02752917	0.09788148	0.00133966
33.3	0.04473902	0.02752917	0.09788148	0.00132267
33.4	0.04473902	0.02752917	0.09788148	0.00135236
33.5	0.04473902	0.02752917	0.09788148	0.00139011
33.6	0.04473902	0.02752917	0.09788148	0.00135644
33.7	0.04473902	0.02752917	0.09788148	0.00135388
33.8	0.04473902	0.02752917	0.09788148	0.00132544
33.9	0.04473902	0.02752917	0.09788148	0.00139549
34	0.04473902	0.02752917	0.09788148	0.00141057
34.1	0.04473902	0.02752917	0.09788148	0.00142379
34.2	0.04473902	0.02752917	0.09788149	0.00142296
34.3	0.04473902	0.02752917	0.09788149	0.00135135
34.4	0.04473902	0.02752917	0.09788149	0.00135243
34.5	0.04473902	0.02752917	0.09788149	0.00135339
