TIME	X:1	R:1	Y:1	noise:1
11.4	0.02729371	0.0170798	0.09109232	0.00165801
11.5	0.02729371	0.0170798	0.09109232	0.00175427
11.6	0.02729371	0.0170798	0.09109232	0.00174685
11.7	0.02729371	0.0170798	0.09109231	0.00166879
11.8	0.02729371	0.0170798	0.09109231	0.00183116
11.9	0.02729371	0.0170798	0.09109231	0.0016666
12	0.02729372	0.0170798	0.09109231	0.00184492
12.1	0.02729372	0.0170798	0.09109231	0.00162047
12.2	0.02729372	0.0170798	0.09109231	0.0017536
12.3	0.02729372	0.0170798	0.0910923	0.00166673
12.4	0.02729372	0.0170798	0.0910923	0.00185262
12.5	0.02729373	0.0170798	0.0910923	0.00173249
12.6	0.02729373	0.0170798	0.0910923	0.00164888
12.7	0.02729373	0.0170798	0.0910923	0.00158428
12.8	0.02729373	0.0170798	0.0910923	0.00182802
12.9	0.02729373	0.0170798	0.09109229	0.00163679
13	0.02729373	0.0170798	0.09109229	0.00170059
13.1	0.02729374	0.0170798	0.09109229	0.00164344
13.2	0.02729374	0.0170798	0.09109229	0.00168799
13.3	0.02729374	0.0170798	0.09109229	0.00184482
13.4	0.02729374	0.0170798	0.09109229	0.00154958
13.5	0.02729374	0.0170798	0.09109229	0.00187432
13.6	0.02729374	0.0170798	0.09109229	0.00182153
13.7	0.02729374	0.0170798	0.09109229	0.0016467
13.8	0.02729375	0.0170798	0.09109228	0.00162306
13.9	0.02729375	0.0170798	0.09109228	0.00158016
14	0.02729375	0.0170798	0.09109228	0.00160902
14.1	0.02729375	0.0170798	0.09109228	0.00163875
14.2	0.02729375	0.0170798	0.09109228	0.00170464
14.3	0.02729375	0.0170798	0.09109228	0.00157375
14.4	0.02729375	0.0170798	0.09109228	0.00160029
14.5	0.02729375	0.0170798	0.09109228	0.00156215
14.6	0.02729375	0.0170798	0.09109228	0.00169774
14.7	0.02729375	0.0170798	0.09109228	0.00179802
14.8	0.02729375	0.0170798	0.09109228	0.0016757
14.9	0.02729375	0.0170798	0.09109228	0.00162095
15	0.02729375	0.01707981	0.09109228	0.0018278
15.1	0.02729375	0.01707981	0.09109228	0.0016131
15.2	0.02729375	0.01707981	0.09109228	0.00158386
15.3	0.02729375	0.01707981	0.09109229	0.00167736
15.4	0.02729375	0.01707981	0.09109229	0.00155642
15.5	0.02729375	0.01707981	0.09109229	0.00164168
15.6	0.02729375	0.01707981	0.09109229	0.00160278
15.7	0.02729375	0.01707981	0.09109229	0.0016672
15.8	0.02729375	0.01707981	0.09109229	0.00175453
15.9	0.02729375	0.01707981	0.09109229	0.00160241
16	0.02729375	0.01707981	0.09109229	0.00181874
16.1	0.02729374	0.01707981	0.09109229	0.00169
16.2	0.02729374	0.01707981	0.09109229	0.00167928
16.3	0.02729374	0.01707981	0.09109229	0.00169097
16.4	0.02729374	0.01707981	0.09109229	0.00182623
16.5	0.02729374	0.01707981	0.09109229	0.00165812
16.6	0.02729374	0.01707981	0.09109229	0.00157835
16.7	0.02729374	0.01707981	0.09109229	0.00172536
16.8	0.02729374	0.01707981	0.09109229	0.00169165
16.9	0.02729374	0.01707981	0.09109229	0.00164914
17	0.02729374	0.01707981	0.09109229	0.00156976
17.1	0.02729374	0.01707981	0.09109229	0.00164381
17.2	0.02729374	0.01707981	0.09109229	0.00184218
17.3	0.02729374	0.01707981	0.09109229	0.00177868
17.4	0.02729374	0.01707981	0.09109229	0.00160038
17.5	0.02729374	0.01707981	0.09109229	0.00179908
17.6	0.02729374	0.01707981	0.09109229	0.00165516
17.7	0.02729374	0.01707981	0.09109229	0.00167029
17.8	0.02729374	0.01707981	0.09109229	0.00179902
17.9	0.02729374	0.01707981	0.09109229	0.00164184
18	0.02729374	0.0170798	0.09109229	0.0015402
18.1	0.02729374	0.0170798	0.09109229	0.00171281
18.2	0.02729374	0.0170798	0.09109229	0.00166512
18.3	0.02729374	0.0170798	0.09109229	0.00185519
18.4	0.02729374	0.0170798	0.09109229	0.00175615
18.5	0.02729374	0.0170798	0.09109229	0.00169847
18.6	0.02729374	0.0170798	0.09109229	0.00163638
18.7	0.02729374	0.0170798	0.09109229	0.00182931
18.8	0.02729374	0.0170798	0.09109229	0.00168793
18.9	0.02729374	0.0170798	0.09109229	0.00172215
19	0.02729374	0.0170798	0.09109229	0.00184653
19.1	0.02729374	0.0170798	0.09109229	0.00176543
19.2	0.02729374	0.0170798	0.09109229	0.00166402
19.3	0.02729374	0.0170798	0.09109229	0.00157552
19.4	0.02729374	0.0170798	0.09109229	0.00174498
19.5	0.02729374	0.0170798	0.09109229	0.00176791
19.6	0.02729374	0.0170798	0.09109229	0.00177368
19.7	0.02729374	0.0170798	0.09109229	0.00176594
19.8	0.02729374	0.0170798	0.09109229	0.00166632
19.9	0.02729374	0.0170798	0.09109229	0.00187609
20	0.02729374	0.0170798	0.09109229	0.00177184
20.1	0.02729374	0.0170798	0.09109229	0.0016678
20.2	0.02729374	0.0170798	0.09109229	0.0016094
20.3	0.02729374	0.0170798	0.09109229	0.00167161
20.4	0.02729374	0.0170798	0.09109229	0.00161187
20.5	0.02729374	0.0170798	0.09109229	0.00165109
20.6	0.02729374	0.0170798	0.09109229	0.00153735
20.7	0.02729374	0.0170798	0.09109229	0.00160354
20.8	0.02729374	0.0170798	0.09109229	0.00167459
20.9	0.02729374	0.0170798	0.09109229	0.00159658
21	0.02729374	0.0170798	0.09109229	0.00181281
21.1	0.02729374	0.0170798	0.09109229	0.00154422
21.2	0.02729374	0.0170798	0.09109229	0.00176732
21.3	0.02729374	0.0170798	0.09109229	0.00165323
21.4	0.02729374	0.0170798	0.09109229	0.00177928
21.5	0.02729374	0.0170798	0.09109229	0.00163416
21.6	0.02729374	0.0170798	0.09109229	0.00155333
21.7	0.02729374	0.0170798	0.09109229	0.00173955
21.8	0.02729374	0.0170798	0.09109229	0.00164208
21.9	0.02729374	0.0170798	0.09109229	0.00181256
22	0.02729374	0.0170798	0.09109229	0.00156528
22.1	0.02729374	0.0170798	0.09109229	0.00179807
22.2	0.02729374	0.0170798	0.09109229	0.00184695
22.3	0.02729374	0.0170798	0.09109229	0.0015569
22.4	0.02729374	0.0170798	0.09109229	0.00172176
22.5	0.02729374	0.0170798	0.09109229	0.00177898
22.6	0.02729374	0.0170798	0.09109229	0.00181047
22.7	0.02729374	0.0170798	0.09109229	0.00183817
22.8	0.02729374	0.0170798	0.09109229	0.0015412
22.9	0.02729374	0.0170798	0.09109229	0.00172538
23	0.02729374	0.0170798	0.09109229	0.00176145
23.1	0.02729374	0.0170798	0.09109229	0.00154747
23.2	0.02729374	0.0170798	0.09109229	0.00183747
23.3	0.02729374	0.0170798	0.09109229	0.00164871
23.4	0.02729374	0.0170798	0.09109229	0.00166747
23.5	0.02729374	0.0170798	0.09109229	0.00162293
