TIME	X:1	R:1	Y:1	noise:1
10	0.25333978	0.1299299	0.20788138	0.00627768
10.1	0.25334223	0.12993074	0.20788206	0.00668119
10.2	0.25334454	0.12993159	0.2078828	0.00628501
10.3	0.25334669	0.12993245	0.20788361	0.00654993
10.4	0.25334866	0.1299333	0.20788446	0.00665021
10.5	0.25335046	0.12993415	0.20788537	0.00651574
10.6	0.25335206	0.12993499	0.20788632	0.0062414
10.7	0.25335347	0.12993582	0.2078873	0.00629525
10.8	0.25335468	0.12993662	0.20788832	0.00657058
10.9	0.25335568	0.1299374	0.20788935	0.00628935
11	0.25335648	0.12993815	0.20789041	0.00629131
11.1	0.25335707	0.12993887	0.20789148	0.00660507
11.2	0.25335745	0.12993956	0.20789255	0.00645626
11.3	0.25335762	0.1299402	0.20789362	0.00643015
11.4	0.25335759	0.12994081	0.20789469	0.00656335
11.5	0.25335735	0.12994137	0.20789574	0.0066983
11.6	0.25335691	0.12994188	0.20789678	0.00643322
11.7	0.25335628	0.12994235	0.20789779	0.00675587
11.8	0.25335547	0.12994276	0.20789877	0.00626032
11.9	0.25335447	0.12994312	0.20789972	0.00658714
12	0.2533533	0.12994342	0.20790062	0.00652288
12.1	0.25335197	0.12994367	0.20790148	0.00639173
12.2	0.25335048	0.12994386	0.2079023	0.00644567
12.3	0.25334886	0.129944	0.20790306	0.00673189
12.4	0.2533471	0.12994408	0.20790377	0.00625451
12.5	0.25334522	0.12994411	0.20790441	0.00639526
12.6	0.25334324	0.12994408	0.207905	0.0064824
12.7	0.25334116	0.12994399	0.20790552	0.00663991
12.8	0.253339	0.12994386	0.20790597	0.00656344
12.9	0.25333677	0.12994367	0.20790636	0.00643373
13	0.25333449	0.12994343	0.20790667	0.0062373
13.1	0.25333217	0.12994314	0.20790692	0.00665146
13.2	0.25332982	0.12994281	0.2079071	0.00627494
13.3	0.25332746	0.12994244	0.2079072	0.00672497
13.4	0.2533251	0.12994203	0.20790724	0.00675643
13.5	0.25332275	0.12994157	0.2079072	0.00659679
13.6	0.25332043	0.12994109	0.2079071	0.00675175
13.7	0.25331816	0.12994057	0.20790693	0.00640841
13.8	0.25331593	0.12994003	0.2079067	0.00663329
13.9	0.25331377	0.12993946	0.2079064	0.00654164
14	0.25331168	0.12993887	0.20790605	0.00628498
14.1	0.25330968	0.12993827	0.20790563	0.00663328
14.2	0.25330777	0.12993765	0.20790517	0.00646212
14.3	0.25330597	0.12993702	0.20790465	0.00635934
14.4	0.25330429	0.12993639	0.20790409	0.00631741
14.5	0.25330272	0.12993576	0.20790348	0.0066072
14.6	0.25330129	0.12993512	0.20790283	0.00657776
14.7	0.2533	0.12993449	0.20790215	0.00668253
14.8	0.25329884	0.12993387	0.20790144	0.00659599
14.9	0.25329783	0.12993327	0.20790071	0.00628463
15	0.25329697	0.12993267	0.20789995	0.00625165
15.1	0.25329626	0.1299321	0.20789917	0.00634888
15.2	0.25329571	0.12993155	0.20789839	0.00633994
15.3	0.25329531	0.12993102	0.20789759	0.00673217
15.4	0.25329506	0.12993051	0.20789679	0.0066326
15.5	0.25329498	0.12993004	0.207896	0.00662478
15.6	0.25329504	0.1299296	0.20789521	0.0063879
15.7	0.25329525	0.12992919	0.20789443	0.00645235
15.8	0.25329561	0.12992882	0.20789367	0.00630587
15.9	0.25329611	0.12992849	0.20789292	0.00634194
16	0.25329675	0.12992819	0.2078922	0.00673605
16.1	0.25329753	0.12992793	0.2078915	0.00672732
16.2	0.25329843	0.12992772	0.20789084	0.00624708
16.3	0.25329944	0.12992754	0.20789021	0.00648167
16.4	0.25330057	0.12992741	0.20788961	0.00658031
16.5	0.25330181	0.12992732	0.20788906	0.00626806
16.6	0.25330313	0.12992727	0.20788854	0.00674282
16.7	0.25330455	0.12992726	0.20788807	0.00671767
16.8	0.25330604	0.12992729	0.20788765	0.00666623
16.9	0.2533076	0.12992736	0.20788728	0.00674085
17	0.25330921	0.12992748	0.20788695	0.00675272
17.1	0.25331088	0.12992762	0.20788668	0.00667008
17.2	0.25331258	0.12992781	0.20788646	0.0067023
17.3	0.25331431	0.12992803	0.20788629	0.00653378
17.4	0.25331606	0.12992828	0.20788617	0.0064102
17.5	0.25331781	0.12992857	0.2078861	0.00627027
17.6	0.25331956	0.12992888	0.20788609	0.00667078
17.7	0.2533213	0.12992923	0.20788613	0.00660827
17.8	0.25332301	0.12992959	0.20788622	0.00644058
17.9	0.2533247	0.12992998	0.20788635	0.00649031
18	0.25332634	0.12993039	0.20788654	0.00654537
18.1	0.25332793	0.12993081	0.20788677	0.00651314
18.2	0.25332947	0.12993125	0.20788705	0.00668814
18.3	0.25333094	0.12993171	0.20788736	0.00633097
18.4	0.25333233	0.12993217	0.20788772	0.00668878
18.5	0.25333365	0.12993263	0.20788811	0.00628579
18.6	0.25333488	0.1299331	0.20788854	0.00630081
18.7	0.25333601	0.12993358	0.207889	0.00661184
18.8	0.25333705	0.12993405	0.20788948	0.00675253
18.9	0.25333799	0.12993451	0.20788999	0.00654507
19	0.25333882	0.12993497	0.20789053	0.0066599
19.1	0.25333954	0.12993542	0.20789108	0.00651795
19.2	0.25334016	0.12993585	0.20789164	0.0065863
19.3	0.25334065	0.12993628	0.20789222	0.00658412
19.4	0.25334104	0.12993668	0.20789281	0.00654547
19.5	0.2533413	0.12993707	0.2078934	0.00650002
19.6	0.25334146	0.12993744	0.20789399	0.0066546
19.7	0.25334149	0.12993778	0.20789458	0.0064754
19.8	0.25334142	0.12993811	0.20789516	0.00667115
19.9	0.25334123	0.1299384	0.20789574	0.00653581
20	0.25334094	0.12993867	0.2078963	0.00646542
20.1	0.25334054	0.12993891	0.20789685	0.0064347
20.2	0.25334004	0.12993913	0.20789738	0.00625767
20.3	0.25333944	0.12993931	0.20789789	0.00652837
20.4	0.25333875	0.12993946	0.20789838	0.00649972
20.5	0.25333798	0.12993958	0.20789884	0.00653281
20.6	0.25333712	0.12993968	0.20789928	0.00669537
20.7	0.25333619	0.12993974	0.20789968	0.00624259
20.8	0.25333518	0.12993977	0.20790006	0.00642108
20.9	0.25333412	0.12993976	0.2079004	0.00646226
21	0.253333	0.12993973	0.2079007	0.00636505
21.1	0.25333183	0.12993967	0.20790097	0.00627856
21.2	0.25333062	0.12993958	0.2079012	0.00652046
21.3	0.25332938	0.12993946	0.2079014	0.00632348
21.4	0.25332811	0.12993932	0.20790155	0.00646991
21.5	0.25332682	0.12993915	0.20790167	0.00640247
21.6	0.25332552	0.12993896	0.20790175	0.00668018
21.7	0.25332422	0.12993874	0.20790179	0.00652292
21.8	0.25332292	0.1299385	0.20790179	0.00628655
21.9	0.25332163	0.12993824	0.20790175	0.00632177
22	0.25332036	0.12993797	0.20790167	0.0065073
22.1	0.25331912	0.12993767	0.20790156	0.00641024
22.2	0.25331791	0.12993737	0.20790142	0.00645384
22.3	0.25331674	0.12993705	0.20790124	0.0066184
22.4	0.25331561	0.12993672	0.20790103	0.00629632
22.5	0.25331453	0.12993638	0.20790078	0.00668527
22.6	0.25331351	0.12993604	0.20790051	0.00648326
22.7	0.25331255	0.12993569	0.20790021	0.0063965
22.8	0.25331165	0.12993534	0.20789989	0.00672364
22.9	0.25331083	0.12993499	0.20789955	0.00648161
23	0.25331007	0.12993464	0.20789918	0.00647299
23.1	0.2533094	0.1299343	0.2078988	0.00639315
23.2	0.2533088	0.12993396	0.2078984	0.00644571
23.3	0.25330828	0.12993363	0.20789798	0.0063841
23.4	0.25330785	0.12993331	0.20789756	0.00660988
23.5	0.2533075	0.129933	0.20789713	0.00671423
23.6	0.25330724	0.1299327	0.2078967	0.00641217
23.7	0.25330706	0.12993241	0.20789626	0.00650202
23.8	0.25330697	0.12993214	0.20789582	0.00640849
23.9	0.25330696	0.12993189	0.20789538	0.00646826
24	0.25330704	0.12993166	0.20789495	0.00636558
24.1	0.2533072	0.12993144	0.20789452	0.00631012
24.2	0.25330743	0.12993125	0.20789411	0.00672434
24.3	0.25330775	0.12993107	0.2078937	0.00625188
24.4	0.25330814	0.12993092	0.20789331	0.00659424
24.5	0.2533086	0.12993079	0.20789293	0.00665124
24.6	0.25330913	0.12993068	0.20789258	0.00671291
24.7	0.25330972	0.1299306	0.20789224	0.00656435
24.8	0.25331037	0.12993054	0.20789192	0.00674424
24.9	0.25331108	0.1299305	0.20789163	0.00641721
25	0.25331183	0.12993048	0.20789135	0.00670575
25.1	0.25331263	0.12993049	0.20789111	0.00636665
25.2	0.25331348	0.12993052	0.20789089	0.00673317
25.3	0.25331435	0.12993057	0.2078907	0.00648652
25.4	0.25331526	0.12993064	0.20789053	0.00645188
25.5	0.25331618	0.12993073	0.20789039	0.00655866
25.6	0.25331713	0.12993084	0.20789029	0.00644311
25.7	0.25331809	0.12993097	0.20789021	0.0063304
25.8	0.25331906	0.12993112	0.20789016	0.00675051
25.9	0.25332002	0.12993129	0.20789013	0.00625275
26	0.25332098	0.12993147	0.20789014	0.00645491
26.1	0.25332194	0.12993166	0.20789018	0.00671082
26.2	0.25332287	0.12993187	0.20789024	0.00632311
26.3	0.25332379	0.12993209	0.20789033	0.00627778
26.4	0.25332468	0.12993232	0.20789044	0.00632427
26.5	0.25332555	0.12993256	0.20789058	0.00663275
26.6	0.25332638	0.1299328	0.20789074	0.00639014
26.7	0.25332717	0.12993306	0.20789093	0.00633612
26.8	0.25332791	0.12993331	0.20789114	0.0063816
26.9	0.25332862	0.12993357	0.20789136	0.00631435
27	0.25332927	0.12993383	0.20789161	0.0065912
27.1	0.25332987	0.12993409	0.20789187	0.00672597
27.2	0.25333041	0.12993435	0.20789214	0.00661121
27.3	0.2533309	0.1299346	0.20789243	0.00655757
27.4	0.25333133	0.12993485	0.20789273	0.0067097
27.5	0.2533317	0.1299351	0.20789304	0.00672981
27.6	0.253332	0.12993534	0.20789335	0.00634009
27.7	0.25333225	0.12993556	0.20789367	0.00653232
27.8	0.25333243	0.12993578	0.207894	0.0064233
27.9	0.25333254	0.12993599	0.20789432	0.00660925
28	0.2533326	0.12993619	0.20789465	0.00652001
28.1	0.25333259	0.12993637	0.20789497	0.00669938
28.2	0.25333251	0.12993654	0.20789529	0.00671117
28.3	0.25333238	0.1299367	0.20789561	0.00647911
28.4	0.25333219	0.12993684	0.20789591	0.00651947
28.5	0.25333194	0.12993696	0.20789621	0.00671373
28.6	0.25333164	0.12993707	0.2078965	0.00645479
28.7	0.25333129	0.12993717	0.20789678	0.0066785
28.8	0.25333088	0.12993724	0.20789704	0.00638579
28.9	0.25333043	0.1299373	0.20789729	0.00667392
29	0.25332994	0.12993734	0.20789752	0.00658528
29.1	0.2533294	0.12993737	0.20789773	0.00643614
29.2	0.25332883	0.12993738	0.20789793	0.00644516
29.3	0.25332823	0.12993737	0.20789811	0.00644803
29.4	0.2533276	0.12993734	0.20789826	0.00649469
29.5	0.25332694	0.1299373	0.2078984	0.00650363
29.6	0.25332627	0.12993724	0.20789852	0.00644653
29.7	0.25332557	0.12993717	0.20789862	0.00658542
29.8	0.25332487	0.12993708	0.20789869	0.00624982
29.9	0.25332416	0.12993698	0.20789874	0.0064629
30	0.25332344	0.12993687	0.20789878	0.00672325
30.1	0.25332272	0.12993674	0.20789879	0.00653556
30.2	0.25332201	0.12993661	0.20789878	0.00635871
30.3	0.2533213	0.12993646	0.20789875	0.00629601
30.4	0.25332061	0.1299363	0.2078987	0.00664287
30.5	0.25331993	0.12993614	0.20789863	0.00636321
30.6	0.25331928	0.12993597	0.20789854	0.00656079
30.7	0.25331864	0.12993579	0.20789843	0.00644813
30.8	0.25331803	0.1299356	0.2078983	0.00640862
30.9	0.25331745	0.12993542	0.20789816	0.00628539
31	0.25331691	0.12993523	0.207898	0.00662753
31.1	0.25331639	0.12993503	0.20789783	0.00668701
31.2	0.25331592	0.12993484	0.20789765	0.00633674
31.3	0.25331548	0.12993465	0.20789745	0.00664959
31.4	0.25331509	0.12993446	0.20789725	0.00629562
31.5	0.25331474	0.12993427	0.20789703	0.00638969
31.6	0.25331443	0.12993408	0.20789681	0.00672766
31.7	0.25331417	0.1299339	0.20789658	0.00637438
31.8	0.25331395	0.12993373	0.20789634	0.00632343
31.9	0.25331378	0.12993356	0.2078961	0.00629854
32	0.25331366	0.1299334	0.20789586	0.00658686
32.1	0.25331359	0.12993325	0.20789562	0.00627766
32.2	0.25331356	0.1299331	0.20789538	0.00669891
